CLASS,TEXT,ID
0,no sun ment winter,1
1,I selected this answer because I think that in winter the sun is straight above your head and in summer the sun is at an angle.,2
1,I chose these answers because I know that when it's summer the sun shines on Earth at an angle and when it's winter the sun shines directly an the Earth. ,3
0,I guessed ,4
0,how the sun is placed because if theres a lot of sun it must be summer and if theres hardly no sun it must be winter / ,5
0,in the first one the sun is father away from the earth and the one is closer it the earth ,6
0,there is one winter each year and you get summer twice,7
1,I believe that the 1st picture is winter & the 2nd one is summer because during the summer months I feel as if the sun is at a further distance than in the winter months. Therefore I chose number 2 for summer because the sun is at a slant.,8
1,Number one is pointing directly on the earths surface and number two is pointing at an angle and I think when the sun is pointing directly down the sun isn't as hot.,9
0,I picked the fourth question because in example number one is more together but it douses not cover the entire ground but while number two is more sped out.    ,10
0,I thin the answer is Spring then Summer because the farther away the sun is from earth the colder it is. The closer the sun is to earth the warmer earth will be.,11
0,I selected these answers because I felt that these were the best choices,12
0,I guessed,13
0,Because if the sun was directly facing the ground I would melt the snow a lot quicker.,14
0,I selected answer C because in the first one seems to be ,15
1,the first one is sighing down straight.then the second one is slant side ways  ,16
0,I chose this answer because one is going up more than the other so i piked 1 spring and two summer. ,17
0,I choose that answer because the picture shows that where the sun is and kinda how much pressure the sun putting down.,18
0,the sun is covering less for the first one so I thought winter the second one cover more so I thought summer,19
0,I chose this answer because in winter we don't get as much sunlight unlike summer.,20
1,because the suns rays in diagram 2 are technically closer to the earth providing more warmth and sunlight / ,21
0,I guest.,22
0,because its hot and warm air that is shown on the picture and the only answers on their that are hot and cold our summer and spring / ,23
1,"I selected the answer because in the summer the sun sits directly on you, and the summer is the opposite of the winter, and since the sun cant be on the earth It goes slightly to the side.",24
0,this is the correct answer because the seasons go in order so if it starts out as one then it goes to the next but in this case the first one is winter because it does not goes to the left or right it is just straight so it is winter and the second one is summer because it casts a shadow ,25
0,2 summer because the sun represents a lot of heat and when heat becomes down to a surface of something it becomes hot and the more we have sunlight and hot days the more we have 2 summers. /  / 1 winter 1 winter because when we have something  cold shining on a surface it gets super cold and while we have that it freezes so while we have more summer and stuff we have less winter days.,26
0,Because the sun in spring is higher in the sky because it is not as hot as summer,27
0,the sun isn't providing direct sunlight the whole time so when it isn't it is cold enough for snowy weather which is winter.,28
1,the first sun is pointing to the ground so more direct but more area to cover the second sun is pointing wider than the first so less area to cover / ,29
0,its the only one that works with the pattern of the suns,30
0,because summer is when u get the most sunlight and in the winter you will have sunlight but not a lot  ,31
0,I choose this answer because  the sun looked farther away the other pic looked closer.,32
0,because in the first picture the suns far away from earth so its going to be cold. in the second picture the sun is closer so its going to be warmer because the rays are closer.,33
0,I think this because in the first picture the sun is almost directly on and on the second picture because it is spread out for summer,34
0,"I selected this answer because sun one is looking straight to the earth's surface so that would explain winter, sun two is looking not straight and that would cause the earth's surface to be two spring.",35
0,"I didn't know, I just guessed, but I did narrow it down to two because I knew 2 option go in the right order of the season.",36
0,i picked this because its the one that made the most sence,37
0,I think it is #1 because in the winter the snow doesn't melt as fast and it really only melts in one spot at a time and in the summer its warm everywhere.,38
0,I choose this answer because the sun is shining its rays on the surface which makes it warm so I assumed it was in the warm seasons that's why I picked spring and summer for this question.,39
0,"Because it is above the green surface, signifying spring, and then to the side, signifying Summer.",40
0,because that's all I could think of,41
0,"if you imagine the picture of the 4 seasons while the earth goes around the sun, spring ,summer,autumn,winter in that order is the seasons 1 is spring because it is at the top left of the diagram and summer is on the top right so in that case it is 1-Spring, 2-Summer ",42
0,I selected this answer because it explained the scenario. Spring must come before summer can.,43
0,I figured that in the spring the sun will be not directly above the earth but more in a diagonal position,44
0,I don't really know why I selected this answer. It was really hard and I don't know. I just kind of guessed and thought of what I think the sun looks like in the winter and summer.,45
